1,9,A 臨床化學及臨床毒理學,A1050 鹼性磷酸酶或同功酶試驗系統,衛署醫器製字第001991號,115/03/10,台塑鹼性磷酸/試劑,MeDiPro ALKALINE PHOSPHATASE TEST,台塑生醫科技股份有限公司,台塑生醫科技股份有限公司宜蘭廠,https://info.fda.gov.tw/MLMS/H0001D.aspx?Type=Lic&LicId=05001991
1,9,A 臨床化學及臨床毒理學,A1050 鹼性磷酸酶或同功酶試驗系統,衛署醫器輸字第015049號,109/11/27,關東化學鹼性磷酸酶試驗試劑,CicaLiquid ALP,醫全實業股份有限公司,"KANTO CHEMICAL CO., INC. ISEHARA FACTORY",https://info.fda.gov.tw/MLMS/H0001D.aspx?Type=Lic&LicId=06015049
1,9,A 臨床化學及臨床毒理學,A1050 鹼性磷酸酶或同功酶試驗系統,衛署醫器輸字第015073號,109/11/28,維特司生化產品鹼性磷酸酶桌上型試藥片,VITROS Chemistry Products ALKP DT Slides,台灣大昌華嘉股份有限公司,"ORTHO-CLINICAL DIAGNOSTICS, INC.",https://info.fda.gov.tw/MLMS/H0001D.aspx?Type=Lic&LicId=06015073
1,9,A 臨床化學及臨床毒理學,A1050 鹼性磷酸酶或同功酶試驗系統,衛署醫器輸字第015142號,114/11/30,"""德國虎瑪""鹼性磷酸酶檢驗試劑","""Human"" Alkaline phosphatase liquicolor",德醫生技有限公司,HUMAN GESELLSCHAFT FUR BIOCHEMICA UND DIAGNOSTICA MBH,https://info.fda.gov.tw/MLMS/H0001D.aspx?Type=Lic&LicId=06015142
1,9,A 臨床化學及臨床毒理學,A1050 鹼性磷酸酶或同功酶試驗系統,衛署醫器輸字第015319號,114/12/08,免疫特 骨鈣素試劑,IMMULITE Osteocalcin Reagent,西門子醫療設備股份有限公司,SIEMENS HEALTHCARE DIAGNOSTICS PRODUCTS LIMITED,https://info.fda.gov.tw/MLMS/H0001D.aspx?Type=Lic&LicId=06015319
1,9,A 臨床化學及臨床毒理學,A1050 鹼性磷酸酶或同功酶試驗系統,衛署醫器輸字第015489號,109/12/12,生物梅里埃鹼性磷酸酶測定試劑,bioMerieux Enzyline PAL Optimise,香港商生物梅里埃有限公司台灣分公司,BIOMERIEUX SA,https://info.fda.gov.tw/MLMS/H0001D.aspx?Type=Lic&LicId=06015489
1,9,A 臨床化學及臨床毒理學,A1050 鹼性磷酸酶或同功酶試驗系統,衛署醫器輸字第015525號,114/12/13,德賽.鹼性磷酸酶液體試劑盒,DiaSys Alkaline Phosphatase FS IFCC 37℃,嘉誠國際醫事服務顧問有限公司,DIASYS DIAGNOSTIC SYSTEMS GMBH,https://info.fda.gov.tw/MLMS/H0001D.aspx?Type=Lic&LicId=06015525
1,9,A 臨床化學及臨床毒理學,A1050 鹼性磷酸酶或同功酶試驗系統,衛署醫器輸字第015564號,114/12/14,富士-測定鹼性磷酸酶乾式試片,FUJI DRI-CHEM Slide ALP-P III,恆昶實業股份有限公司,"FUJIFILM Techno Products CO., LTD Ashigara Site",https://info.fda.gov.tw/MLMS/H0001D.aspx?Type=Lic&LicId=06015564
1,9,A 臨床化學及臨床毒理學,A1050 鹼性磷酸酶或同功酶試驗系統,衛署醫器輸字第015777號,114/12/27,羅氏瑞弗聰乾式生化鹼性磷酸/檢驗試劑,Roflotron Alkal. Phosphatase,台灣羅氏醫療診斷設備股份有限公司,ROCHE DIAGNOSTICS GMBH,https://info.fda.gov.tw/MLMS/H0001D.aspx?Type=Lic&LicId=06015777
1,9,A 臨床化學及臨床毒理學,A1050 鹼性磷酸酶或同功酶試驗系統,衛署醫器輸字第015856號,115/01/09,"""愛科來""鹼性磷酸酶檢測試紙","Spotchem II ALP Reagent Strip ""Arkray""",生展生物科技股份有限公司,"ARKRAY Factory, Inc., Head office factory",https://info.fda.gov.tw/MLMS/H0001D.aspx?Type=Lic&LicId=06015856
1,9,A 臨床化學及臨床毒理學,A1050 鹼性磷酸酶或同功酶試驗系統,衛署醫器輸字第017181號,115/07/03,海倫那鹼性磷酸每同功異構每試劑,Helena Alkaline Phosphatase Isoenzyme Reagent.,上力興業股份有限公司,Helena Laboratories Corp.,https://info.fda.gov.tw/MLMS/H0001D.aspx?Type=Lic&LicId=06017181
1,9,A 臨床化學及臨床毒理學,A1050 鹼性磷酸酶或同功酶試驗系統,衛署醫器輸字第018998號,112/04/14,羅氏可霸斯c 111鹼性磷酸酶第2代IFCC方法試劑,cobas c 111 ALP2S,台灣羅氏醫療診斷設備股份有限公司,ROCHE DIAGNOSTICS GMBH,https://info.fda.gov.tw/MLMS/H0001D.aspx?Type=Lic&LicId=06018998
1,9,A 臨床化學及臨床毒理學,A1050 鹼性磷酸酶或同功酶試驗系統,衛署醫器輸字第019984號,113/04/09,“西門子”鹼性磷酸每 (二乙醇胺法) 試劑組,ADVIA Chemistry Alkaline Phosphatase (ALPDEA),西門子醫療設備股份有限公司,RANDOX LABORATORIES LTD.,https://info.fda.gov.tw/MLMS/H0001D.aspx?Type=Lic&LicId=06019984
1,9,A 臨床化學及臨床毒理學,A1050 鹼性磷酸酶或同功酶試驗系統,衛署醫器輸字第019994號,113/04/17,和光鹼性磷酸酶試劑,Wako L-Type ALP-J2,醫全實業股份有限公司,FUJIFILM WAKO PURE CHEMICAL CORPORATION MIE PLANT,https://info.fda.gov.tw/MLMS/H0001D.aspx?Type=Lic&LicId=06019994
