合興通食品股份有限公司,賴冠豪,TIC-0100,台灣(台中市),http://www.cy-clean.com/gc_company/%e5%90%88%e8%88%88%e9%80%9a%e9%a3%9f%e5%93%81%e8%82%a1%e4%bb%bd%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8/
萬鑫企業股份有限公司,鄭榮蘭,TIC-0099,台灣(桃園市),http://www.cy-clean.com/gc_company/%e8%90%ac%e9%91%ab%e4%bc%81%e6%a5%ad%e8%82%a1%e4%bb%bd%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8/
中祥食品工業股份有限公司,李昭志,TIC-0098,台灣(桃園市),http://www.cy-clean.com/gc_company/25475/
龍口食品企業股份有限公司,張中光,TIC-0097,台灣(台北市),http://www.cy-clean.com/gc_company/%e9%be%8d%e5%8f%a3%e9%a3%9f%e5%93%81%e4%bc%81%e6%a5%ad%e8%82%a1%e4%bb%bd%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8/
麥之田食品屋,林忠義,TIC-0096,台灣(新北市),http://www.cy-clean.com/gc_company/%e9%ba%a5%e4%b9%8b%e7%94%b0%e9%a3%9f%e5%93%81%e5%b1%8b/
慶生堂化粧品股份有限公司,陳玉青,TIC-C0004,台灣(嘉義縣),http://www.cy-clean.com/gc_company/%e6%85%b6%e7%94%9f%e5%a0%82%e5%8c%96%e7%b2%a7%e5%93%81%e8%82%a1%e4%bb%bd%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8/
伂橙股份有限公司,尤繹宸,TIC-0094,台灣(新北市),http://www.cy-clean.com/gc_company/25408/
宜大科技股份有限公司,張碩傑,TIC-0093,台灣(宜蘭縣),http://www.cy-clean.com/gc_company/%e5%ae%9c%e5%a4%a7%e7%a7%91%e6%8a%80%e8%82%a1%e4%bb%bd%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8/
優然食品生技股份有限公司,徐智鴻,里仁廠商,台灣(台中市),http://www.cy-clean.com/gc_company/%e5%84%aa%e7%84%b6%e9%a3%9f%e5%93%81%e7%94%9f%e6%8a%80%e8%82%a1%e4%bb%bd%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8/
台盈有限公司,黃徐碧玲,TIC-0040,台灣(台中市),http://www.cy-clean.com/gc_company/%e5%8f%b0%e7%9b%88%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8/
帝祥生物科技有限公司,許銘鴻,TIC-0091,台灣(彰化縣),http://www.cy-clean.com/gc_company/%e5%b8%9d%e7%a5%a5%e7%94%9f%e7%89%a9%e7%a7%91%e6%8a%80%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8/
橘平實業股份有限公司,杜從惠,TIC-0090,台灣(台北市),http://www.cy-clean.com/gc_company/%e6%a9%98%e5%b9%b3%e5%af%a6%e6%a5%ad%e8%82%a1%e4%bb%bd%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8/
智捷新創股份有限公司,陳永豪,TIC-0089,台灣(台北市),http://www.cy-clean.com/gc_company/%e6%99%ba%e6%8d%b7%e6%96%b0%e5%89%b5%e8%82%a1%e4%bb%bd%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8/
大江生活股份有限公司,林詠翔,TIC-0088,台灣(台北市),http://www.cy-clean.com/gc_company/%e5%a4%a7%e6%b1%9f%e7%94%9f%e6%b4%bb%e8%82%a1%e4%bb%bd%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8/
禾園生物科技有限公司,林慶祥,TIC-0087,台灣(嘉義縣),http://www.cy-clean.com/gc_company/%e7%a6%be%e5%9c%92%e7%94%9f%e7%89%a9%e7%a7%91%e6%8a%80%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8/
絨豐有限公司,魏詩穎,里仁廠商,台灣(桃園市),http://www.cy-clean.com/gc_company/25309/
三皇生物科技股份有限公司,王亭坤,TIC-0086,台灣(台南市),http://www.cy-clean.com/gc_company/%e4%b8%89%e7%9a%87%e7%94%9f%e7%89%a9%e7%a7%91%e6%8a%80%e8%82%a1%e4%bb%bd%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8/
廣吉食品股份有限公司,賴勇誠,TIC-0085,台灣(新北市),http://www.cy-clean.com/gc_company/%e5%bb%a3%e5%90%89%e9%a3%9f%e5%93%81%e8%82%a1%e4%bb%bd%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8/
大苑子開發股份有限公司,邱瑞堂,TIC-0084,台灣(彰化縣),http://www.cy-clean.com/gc_company/25251/
吉品養生股份有限公司,白佩玉,TIC-0083,台灣(新北市),http://www.cy-clean.com/gc_company/%e5%90%89%e5%93%81%e9%a4%8a%e7%94%9f%e8%82%a1%e4%bb%bd%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8/
永晨食品有限公司,溫國祥,TIC-0082,台灣(彰化縣),http://www.cy-clean.com/gc_company/25240/
悅豐食品有限公司,陳宇惇,里仁廠商,台灣(新北市),http://www.cy-clean.com/gc_company/%e6%82%85%e8%b1%90%e9%a3%9f%e5%93%81%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8/
歡喜旺企業社,周佳慧,里仁廠商,台灣(宜蘭縣),http://www.cy-clean.com/gc_company/%e6%ad%a1%e5%96%9c%e6%97%ba%e4%bc%81%e6%a5%ad%e7%a4%be/
統清股份有限公司,久野 貴久,TIC-0080,台灣(台南市),http://www.cy-clean.com/gc_company/%e7%b5%b1%e6%b8%85%e8%82%a1%e4%bb%bd%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8/
我的輕食有限公司,江欣樺,TIC-0077,台灣(高雄市),http://www.cy-clean.com/gc_company/%e6%88%91%e7%9a%84%e8%bc%95%e9%a3%9f%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8/
豐盟企業股份有限公司,郭信宏,TIC-0076,台灣(台南市),http://www.cy-clean.com/gc_company/25033/
逢興生物科技股份有限公司,王秋月,TIC-0075,台灣(新北市),http://www.cy-clean.com/gc_company/25027/
春喬食品興業股份有限公司,黃冠誌,里仁廠商,台灣(彰化縣),http://www.cy-clean.com/gc_company/%e6%98%a5%e5%96%ac%e9%a3%9f%e5%93%81%e8%88%88%e6%a5%ad%e8%82%a1%e4%bb%bd%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8/
中農粉絲有限公司,廖瓊玉,TIC-0074,台灣(南投市),http://www.cy-clean.com/gc_company/25016/
帝勝生技股份有限公司,蔡宗勳,TIC-0073,台灣(台北市),http://www.cy-clean.com/gc_company/%e5%b8%9d%e5%8b%9d%e7%94%9f%e6%8a%80%e8%82%a1%e4%bb%bd%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8/
福星食品有限公司,吳國清,TIC-0071,台灣(新北市),http://www.cy-clean.com/gc_company/%e7%a6%8f%e6%98%9f%e9%a3%9f%e5%93%81%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8/
東翔生技股份有限公司,莊宇程,里仁廠商,台灣(台北市),http://www.cy-clean.com/gc_company/%e6%9d%b1%e7%bf%94%e7%94%9f%e6%8a%80%e8%82%a1%e4%bb%bd%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8/
食安生技股份有限公司,廖日興,TIC-0069,台灣(台北市),http://www.cy-clean.com/gc_company/%e9%a3%9f%e5%ae%89%e7%94%9f%e6%8a%80%e8%82%a1%e4%bb%bd%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8/
泰泉食品股份有限公司,吳佳珍,TIC-0068,台灣(彰化縣),http://www.cy-clean.com/gc_company/%e6%b3%b0%e6%b3%89%e9%a3%9f%e5%93%81%e8%82%a1%e4%bb%bd%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8/
清亦輕生活事業股份有限公司,何文君,里仁廠商,台灣(高雄市),http://www.cy-clean.com/gc_company/%e6%b8%85%e4%ba%a6%e8%bc%95%e7%94%9f%e6%b4%bb%e4%ba%8b%e6%a5%ad%e8%82%a1%e4%bb%bd%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8/
